id,Titulo,Autor,Ubicacion,Colección
000069717,Fuegos y ceremonias,"Valle, Rosamel del",Ch861/VAL/fu,LITCH
000069718,Guía de la poesía erótica en Chile,"Donoso, Gustavo, comp",813/ADL/mi,LITGE
000069724,Javiera Carrera : madre de la Patria,"Vidal, Virginia",Ch863/VID/ja,LITCH
000069725,Juguemos al hilo de oro : folclor infantil chileno : poesía,"Peña Muñoz, Manuel, comp",Ch861/JUG,LITCH
000069728,La domesticación de los pájaros,"Meissner, Eduardo",Ch863/MEI/do,LITCH
000069730,La hormiga Juliana y otros poemas para niños,"Gómez Fuentes, Gladys",Ch861/GOM/ho,LITCH
000069740,La vera historia,"Vila, Cristían",Ch861/VIL/ve,LITCH
000069741,La vida es un bar,"Symns, Enrique",A863/SYM/vi,LITGE
000069745,Lo que Bob Dylan se llevó,"Arenas, Desiderio",Ch863/ARE/lo,LITGE
000069746,Los indicados,"Contreras, Gonzalo",Ch863/CON/in,LITGE
000069748,Los siete hijos de Simenon,"Díaz Eterovic, Ramón",Ch863/DIA/si,LITCH
000069749,Lugares de uso,"Díaz, Víctor Hugo",Ch861/DIA/lu,LITGE
000069751,Malas noches,"Costamagna, Alejandra",Ch863/COS/ma,LITCH
000069754,La mariposa negra y otros cuentos,"Rosasco, José Luis",Ch863/ROS/ma,LITCH
000069763,Los mundos de Circe,"Vázquez Bronfman, Ana",Ch863/VAS/mu,LITCH
000069764,Naciste pintada,"Berenguer, Carmen",Ch863/BER/na,LITGE
000069768,Nochedumbre,"Ziebrecht, Alejandra",Ch861/ZIE/no,LITCH
000069769,Novelas enanas,"Parra, Marco Antonio de la",Ch863/PAR/no,JUVEN
000069771,Obra poética,"Valle, Rosamel del",Ch861/VAL/ob,LITGE
000069773,Operación Condor : el vuelo de la muerte,"Martorell, Francisco",322.42098/MAR/op,LITCH
000069774,Orbita,"Barrientos, Mauricio",Ch861/BAR/or,LITGE
000069776,Otro baile en París,"Lafourcade, Enrique",Ch863/LAF/ot,LITCH
000069779,"Pasión sin pausa : poetas, poesía, antipoesía","Campaña, Antonio",Ch861/CAM/pa,LITGE
000069780,Pedazos enteros,"Massone, Juan Antonio",Ch861/MAS/pe,LITGE
000069783,Poemas para volar : poesía,"Schkolnik, Saúl",Ch861/SCK/poe,LITCH
000069787,Póstuma : novela,"Meruane , Lina",Ch863/MER/po,LITCH
000069788,Prójimo de nadie,"Berríos, Carmen Gloria",Ch861/BER/pr,LITCH
000069799,Sonata de carne y hueso,"Guralnik, Sonia",Ch863/GUR/so,LITCH
000069800,Su nombre era Margot,"Morán, Roberto",Ch863/MOR/no,LITCH
000069804,"Toca esa rumba, don Azpiazu",Calderón Alfonso,Ch863/CAL/to,LITCH
000069808,Una carta,"Bertoni Lemus, Claudio",Ch861/BER/ca,LITCH
000069809,Uranio,"Arrate, Marina",Ch861/ARR/ur,LITGE
000069811,Versos atribuidos al joven Francisco María Arouet,"Cameron, Juan",Ch861/CAM/ve,LITGE
